year,month,airport,destination,airline,flights,seats,passengers,load_factor
2024,10,"桃園國際機場","大阪","長榮",186,63770,55049,86.3243
2024,11,"桃園國際機場","大阪","長榮",178,60754,54775,90.1587
2024,12,"桃園國際機場","大阪","長榮",186,63440,57117,90.0331
2024,1,"桃園國際機場","大阪","長榮",185,61967,51631,83.3202
2024,2,"桃園國際機場","大阪","長榮",174,59132,53778,90.9457
2024,3,"桃園國際機場","大阪","長榮",186,63146,58992,93.4216
2024,4,"桃園國際機場","大阪","長榮",180,61382,53312,86.8528
2024,5,"桃園國際機場","大阪","長榮",186,63454,55303,87.1545
2024,6,"桃園國際機場","大阪","長榮",180,61526,58916,95.7579
2024,7,"桃園國際機場","大阪","長榮",183,62574,54727,87.4596
2024,8,"桃園國際機場","大阪","長榮",186,63600,56482,88.8082
2024,9,"桃園國際機場","大阪","長榮",180,61576,50955,82.7514
2025,10,"桃園國際機場","大阪","長榮",185,63358,55140,87.0293
2025,11,"桃園國際機場","大阪","長榮",180,61646,53913,87.4558
2025,12,"桃園國際機場","大阪","長榮",186,63784,58193,91.2345
2025,1,"桃園國際機場","大阪","長榮",185,63066,51628,81.8634
2025,2,"桃園國際機場","大阪","長榮",168,57396,49997,87.1089
2025,3,"桃園國際機場","大阪","長榮",186,63382,52943,83.5300
2025,4,"桃園國際機場","大阪","長榮",180,61768,52724,85.3581
2025,5,"桃園國際機場","大阪","長榮",186,63434,51914,81.8394
2025,6,"桃園國際機場","大阪","長榮",180,61396,50865,82.8474
2025,7,"桃園國際機場","大阪","長榮",186,63702,45935,72.1092
2025,8,"桃園國際機場","大阪","長榮",186,63738,54636,85.7197
2025,9,"桃園國際機場","大阪","長榮",181,61992,48493,78.2246
2026,1,"桃園國際機場","大阪","長榮",186,63614,56746,89.2036
2026,2,"桃園國際機場","大阪","長榮",168,57508,54856,95.3885
2026,3,"桃園國際機場","大阪","長榮",186,63732,61663,96.7536
2026,4,"桃園國際機場","大阪","長榮",180,61642,55775,90.4821
2026,5,"桃園國際機場","大阪","長榮",186,63228,54588,86.3352
2024,10,"桃園國際機場","首爾仁川","長榮",137,41251,38774,93.9953
2024,11,"桃園國際機場","首爾仁川","長榮",117,34891,33504,96.0248
2024,12,"桃園國際機場","首爾仁川","長榮",124,36270,34675,95.6024
2024,1,"桃園國際機場","首爾仁川","長榮",124,36276,33841,93.2876
2024,2,"桃園國際機場","首爾仁川","長榮",116,34064,31122,91.3633
2024,3,"桃園國際機場","首爾仁川","長榮",124,36530,34308,93.9173
2024,4,"桃園國際機場","首爾仁川","長榮",120,34854,32190,92.3567
2024,5,"桃園國際機場","首爾仁川","長榮",124,36052,30770,85.3489
2024,6,"桃園國際機場","首爾仁川","長榮",120,34822,31504,90.4715
2024,7,"桃園國際機場","首爾仁川","長榮",120,34238,27076,79.0817
2024,8,"桃園國際機場","首爾仁川","長榮",124,36676,29546,80.5595
2024,9,"桃園國際機場","首爾仁川","長榮",150,43952,35619,81.0407
2025,10,"桃園國際機場","首爾仁川","長榮",144,42780,38009,88.8476
2025,11,"桃園國際機場","首爾仁川","長榮",120,34646,33908,97.8699
2025,12,"桃園國際機場","首爾仁川","長榮",124,35850,35586,99.2636
2025,1,"桃園國際機場","首爾仁川","長榮",124,36116,34041,94.2546
2025,2,"桃園國際機場","首爾仁川","長榮",112,33240,32220,96.9314
2025,3,"桃園國際機場","首爾仁川","長榮",142,43680,38105,87.2367
2025,4,"桃園國際機場","首爾仁川","長榮",134,40594,35955,88.5722
2025,5,"桃園國際機場","首爾仁川","長榮",124,35050,29550,84.3081
2025,6,"桃園國際機場","首爾仁川","長榮",120,34168,31942,93.4851
2025,7,"桃園國際機場","首爾仁川","長榮",158,43226,37920,87.7250
2025,8,"桃園國際機場","首爾仁川","長榮",160,43480,39310,90.4094
2025,9,"桃園國際機場","首爾仁川","長榮",120,34944,28865,82.6036
2026,1,"桃園國際機場","首爾仁川","長榮",160,42638,41088,96.3647
2026,2,"桃園國際機場","首爾仁川","長榮",152,43396,41961,96.6932
2026,3,"桃園國際機場","首爾仁川","長榮",160,47082,45469,96.5741
2026,4,"桃園國際機場","首爾仁川","長榮",154,43458,40616,93.4604
2026,5,"桃園國際機場","首爾仁川","長榮",160,43384,37417,86.2461
2024,10,"桃園國際機場","巴黎","長榮",61,21533,19903,92.4302
2024,11,"桃園國際機場","巴黎","長榮",61,21533,18039,83.7737
2024,12,"桃園國際機場","巴黎","長榮",62,21886,17361,79.3247
2024,1,"桃園國際機場","巴黎","長榮",54,19062,16879,88.5479
2024,2,"桃園國際機場","巴黎","長榮",56,19768,17292,87.4747
2024,3,"桃園國際機場","巴黎","長榮",61,21533,19129,88.8357
2024,4,"桃園國際機場","巴黎","長榮",59,20827,19037,91.4054
2024,5,"桃園國際機場","巴黎","長榮",62,21886,18645,85.1914
2024,6,"桃園國際機場","巴黎","長榮",59,20827,18733,89.9457
2024,7,"桃園國際機場","巴黎","長榮",62,21886,18506,84.5563
2024,8,"桃園國際機場","巴黎","長榮",62,21846,18982,86.8900
2024,9,"桃園國際機場","巴黎","長榮",60,21180,18591,87.7762
2025,10,"桃園國際機場","巴黎","長榮",61,21533,19426,90.2150
2025,11,"桃園國際機場","巴黎","長榮",61,21533,17600,81.7350
2025,12,"桃園國際機場","巴黎","長榮",62,21886,17896,81.7692
2025,1,"桃園國際機場","巴黎","長榮",62,21886,18583,84.9082
2025,2,"桃園國際機場","巴黎","長榮",56,19768,16790,84.9352
2025,3,"桃園國際機場","巴黎","長榮",62,21886,19339,88.3624
2025,4,"桃園國際機場","巴黎","長榮",60,21180,19523,92.1766
2025,5,"桃園國際機場","巴黎","長榮",62,21886,19180,87.6359
2025,6,"桃園國際機場","巴黎","長榮",60,21180,19573,92.4127
2025,7,"桃園國際機場","巴黎","長榮",62,21886,19337,88.3533
2025,8,"桃園國際機場","巴黎","長榮",62,21886,20047,91.5974
2025,9,"桃園國際機場","巴黎","長榮",60,21180,18475,87.2285
2026,1,"桃園國際機場","巴黎","長榮",62,21886,17201,78.5936
2026,2,"桃園國際機場","巴黎","長榮",56,19768,17986,90.9854
2026,3,"桃園國際機場","巴黎","長榮",62,21886,21629,98.8257
2026,4,"桃園國際機場","巴黎","長榮",59,20827,19817,95.1505
2026,5,"桃園國際機場","巴黎","長榮",62,21886,20086,91.7756
2024,10,"桃園國際機場","布里斯本","長榮",26,8892,7876,88.5740
2024,11,"桃園國際機場","布里斯本","長榮",26,8892,6966,78.3401
2024,12,"桃園國際機場","布里斯本","長榮",27,9234,7703,83.4200
2024,1,"桃園國際機場","布里斯本","長榮",26,8892,7576,85.2002
2024,2,"桃園國際機場","布里斯本","長榮",25,8550,7573,88.5731
2024,3,"桃園國際機場","布里斯本","長榮",27,9234,6306,68.2911
2024,4,"桃園國際機場","布里斯本","長榮",26,8892,7350,82.6586
2024,5,"桃園國際機場","布里斯本","長榮",26,8892,6498,73.0769
2024,6,"桃園國際機場","布里斯本","長榮",26,8892,7878,88.5965
2024,7,"桃園國際機場","布里斯本","長榮",26,8892,8152,91.6779
2024,8,"桃園國際機場","布里斯本","長榮",27,9234,8220,89.0188
2024,9,"桃園國際機場","布里斯本","長榮",26,8892,8106,91.1606
2025,10,"桃園國際機場","布里斯本","長榮",26,8892,8128,91.4080
2025,11,"桃園國際機場","布里斯本","長榮",26,8892,7076,79.5771
2025,12,"桃園國際機場","布里斯本","長榮",36,11672,9267,79.3951
2025,1,"桃園國際機場","布里斯本","長榮",26,8892,8255,92.8363
2025,2,"桃園國際機場","布里斯本","長榮",24,8208,7606,92.6657
2025,3,"桃園國際機場","布里斯本","長榮",25,8550,6383,74.6550
2025,4,"桃園國際機場","布里斯本","長榮",25,8550,7736,90.4795
2025,5,"桃園國際機場","布里斯本","長榮",27,9234,7632,82.6511
2025,6,"桃園國際機場","布里斯本","長榮",26,8892,8097,91.0594
2025,7,"桃園國際機場","布里斯本","長榮",36,11932,11493,96.3208
2025,8,"桃園國際機場","布里斯本","長榮",35,11666,10619,91.0252
2025,9,"桃園國際機場","布里斯本","長榮",26,8892,7726,86.8871
2026,1,"桃園國際機場","布里斯本","長榮",35,11458,9867,86.1145
2026,2,"桃園國際機場","布里斯本","長榮",32,10944,9912,90.5702
2026,3,"桃園國際機場","布里斯本","長榮",27,9234,7650,82.8460
2026,4,"桃園國際機場","布里斯本","長榮",25,8550,7972,93.2398
2026,5,"桃園國際機場","布里斯本","長榮",27,9234,7216,78.1460
2024,10,"桃園國際機場","札幌","長榮",61,18849,18009,95.5435
2024,11,"桃園國際機場","札幌","長榮",121,31851,27273,85.6268
2024,12,"桃園國際機場","札幌","長榮",124,32634,31369,96.1237
2024,1,"桃園國際機場","札幌","長榮",122,30198,29377,97.2813
2024,2,"桃園國際機場","札幌","長榮",65,19738,19267,97.6137
2024,3,"桃園國際機場","札幌","長榮",69,20446,19661,96.1606
2024,4,"桃園國際機場","札幌","長榮",60,18540,15286,82.4488
2024,5,"桃園國際機場","札幌","長榮",62,19158,15207,79.3768
2024,6,"桃園國際機場","札幌","長榮",60,18540,17046,91.9417
2024,7,"桃園國際機場","札幌","長榮",60,20520,19089,93.0263
2024,8,"桃園國際機場","札幌","長榮",62,19422,18207,93.7442
2024,9,"桃園國際機場","札幌","長榮",60,18540,16864,90.9601
2025,10,"桃園國際機場","札幌","長榮",124,32612,26878,82.4175
2025,11,"桃園國際機場","札幌","長榮",120,31560,27462,87.0152
2025,12,"桃園國際機場","札幌","長榮",124,32612,31693,97.1820
2025,1,"桃園國際機場","札幌","長榮",124,32612,30397,93.2080
2025,2,"桃園國際機場","札幌","長榮",112,29456,28221,95.8073
2025,3,"桃園國際機場","札幌","長榮",124,32612,29903,91.6932
2025,4,"桃園國際機場","札幌","長榮",78,23832,20047,84.1180
2025,5,"桃園國際機場","札幌","長榮",124,32612,21188,64.9699
2025,6,"桃園國際機場","札幌","長榮",120,31560,22712,71.9645
2025,7,"桃園國際機場","札幌","長榮",124,32612,24746,75.8800
2025,8,"桃園國際機場","札幌","長榮",124,32612,27101,83.1013
2025,9,"桃園國際機場","札幌","長榮",120,31484,22262,70.7089
2026,1,"桃園國際機場","札幌","長榮",124,32612,30832,94.5419
2026,2,"桃園國際機場","札幌","長榮",112,29456,28633,97.2060
2026,3,"桃園國際機場","札幌","長榮",120,31867,31723,99.5481
2026,4,"桃園國際機場","札幌","長榮",68,21992,20464,93.0520
2026,5,"桃園國際機場","札幌","長榮",124,32612,27900,85.5513
2024,10,"桃園國際機場","吉隆坡","長榮",62,20226,16062,79.4126
2024,11,"桃園國際機場","吉隆坡","長榮",60,19980,16626,83.2132
2024,12,"桃園國際機場","吉隆坡","長榮",62,20486,18040,88.0601
2024,1,"桃園國際機場","吉隆坡","長榮",62,19158,15453,80.6608
2024,2,"桃園國際機場","吉隆坡","長榮",58,17922,16379,91.3905
2024,3,"桃園國際機場","吉隆坡","長榮",62,19274,17249,89.4936
2024,4,"桃園國際機場","吉隆坡","長榮",60,19288,16458,85.3277
2024,5,"桃園國際機場","吉隆坡","長榮",62,19158,15265,79.6795
2024,6,"桃園國際機場","吉隆坡","長榮",60,19732,16336,82.7894
2024,7,"桃園國際機場","吉隆坡","長榮",60,19840,17542,88.4173
2024,8,"桃園國際機場","吉隆坡","長榮",62,20026,17419,86.9819
2024,9,"桃園國際機場","吉隆坡","長榮",60,19400,15301,78.8711
2025,10,"桃園國際機場","吉隆坡","長榮",62,20346,18236,89.6294
2025,11,"桃園國際機場","吉隆坡","長榮",60,19680,18182,92.3882
2025,12,"桃園國際機場","吉隆坡","長榮",62,17710,16404,92.6256
2025,1,"桃園國際機場","吉隆坡","長榮",62,20606,17677,85.7857
2025,2,"桃園國際機場","吉隆坡","長榮",56,18188,16006,88.0031
2025,3,"桃園國際機場","吉隆坡","長榮",62,20346,16747,82.3110
2025,4,"桃園國際機場","吉隆坡","長榮",60,19780,16880,85.3387
2025,5,"桃園國際機場","吉隆坡","長榮",62,20186,16456,81.5218
2025,6,"桃園國際機場","吉隆坡","長榮",60,19540,17510,89.6111
2025,7,"桃園國際機場","吉隆坡","長榮",62,20526,19467,94.8407
2025,8,"桃園國際機場","吉隆坡","長榮",62,20506,18454,89.9932
2025,9,"桃園國際機場","吉隆坡","長榮",60,21080,17857,84.7106
2026,1,"桃園國際機場","吉隆坡","長榮",62,20226,18443,91.1846
2026,2,"桃園國際機場","吉隆坡","長榮",56,18248,17198,94.2459
2026,3,"桃園國際機場","吉隆坡","長榮",62,20226,18224,90.1018
2026,4,"桃園國際機場","吉隆坡","長榮",60,19400,16169,83.3454
2026,5,"桃園國際機場","吉隆坡","長榮",62,20026,17102,85.3990
2024,10,"桃園國際機場","休士頓","長榮",62,20646,17621,85.3483
2024,11,"桃園國際機場","休士頓","長榮",60,19980,16894,84.5546
2024,12,"桃園國際機場","休士頓","長榮",62,20646,16644,80.6161
2024,1,"桃園國際機場","休士頓","長榮",62,20646,16577,80.2916
2024,2,"桃園國際機場","休士頓","長榮",58,19314,15318,79.3103
2024,3,"桃園國際機場","休士頓","長榮",62,20646,19460,94.2555
2024,4,"桃園國際機場","休士頓","長榮",60,20020,18888,94.3457
2024,5,"桃園國際機場","休士頓","長榮",62,20646,19513,94.5123
2024,6,"桃園國際機場","休士頓","長榮",60,19980,19425,97.2222
2024,7,"桃園國際機場","休士頓","長榮",62,20646,18754,90.8360
2024,8,"桃園國際機場","休士頓","長榮",62,20686,19229,92.9566
2024,9,"桃園國際機場","休士頓","長榮",60,19980,18527,92.7277
2025,10,"桃園國際機場","休士頓","長榮",62,20646,16730,81.0326
2025,11,"桃園國際機場","休士頓","長榮",60,19980,16920,84.6847
2025,12,"桃園國際機場","休士頓","長榮",62,20646,16078,77.8746
2025,1,"桃園國際機場","休士頓","長榮",60,19980,16262,81.3914
2025,2,"桃園國際機場","休士頓","長榮",56,18648,15041,80.6574
2025,3,"桃園國際機場","休士頓","長榮",62,20646,19079,92.4102
2025,4,"桃園國際機場","休士頓","長榮",60,19980,18776,93.9740
2025,5,"桃園國際機場","休士頓","長榮",62,20646,19476,94.3330
2025,6,"桃園國際機場","休士頓","長榮",60,19980,19028,95.2352
2025,7,"桃園國際機場","休士頓","長榮",62,20646,18422,89.2279
2025,8,"桃園國際機場","休士頓","長榮",62,20646,18007,87.2179
2025,9,"桃園國際機場","休士頓","長榮",60,19980,15859,79.3744
2026,1,"桃園國際機場","休士頓","長榮",62,20666,16541,80.0397
2026,2,"桃園國際機場","休士頓","長榮",56,18688,14471,77.4347
2026,3,"桃園國際機場","休士頓","長榮",62,20646,19388,93.9068
2026,4,"桃園國際機場","休士頓","長榮",60,19980,18675,93.4685
2026,5,"桃園國際機場","休士頓","長榮",62,20646,19657,95.2097
2024,10,"桃園國際機場","西雅圖","長榮",61,20862,18863,90.4180
2024,11,"桃園國際機場","西雅圖","長榮",66,22477,20111,89.4737
2024,12,"桃園國際機場","西雅圖","長榮",88,29602,23640,79.8595
2024,1,"桃園國際機場","西雅圖","長榮",87,29279,25985,88.7496
2024,2,"桃園國際機場","西雅圖","長榮",77,25954,22567,86.9500
2024,3,"桃園國際機場","西雅圖","長榮",65,22173,21549,97.1858
2024,4,"桃園國際機場","西雅圖","長榮",61,20862,20124,96.4625
2024,5,"桃園國際機場","西雅圖","長榮",62,21204,20548,96.9062
2024,6,"桃園國際機場","西雅圖","長榮",65,22135,21646,97.7908
2024,7,"桃園國際機場","西雅圖","長榮",88,29602,27364,92.4397
2024,8,"桃園國際機場","西雅圖","長榮",90,30248,28133,93.0078
2024,9,"桃園國際機場","西雅圖","長榮",67,22781,20503,90.0004
2025,10,"桃園國際機場","西雅圖","長榮",88,29982,21136,70.4956
2025,11,"桃園國際機場","西雅圖","長榮",85,29070,20887,71.8507
2025,12,"桃園國際機場","西雅圖","長榮",88,30096,22265,73.9799
2025,1,"桃園國際機場","西雅圖","長榮",88,29602,26620,89.9264
2025,2,"桃園國際機場","西雅圖","長榮",80,26904,22431,83.3742
2025,3,"桃園國際機場","西雅圖","長榮",88,29583,25415,85.9108
2025,4,"桃園國際機場","西雅圖","長榮",86,28937,25091,86.7091
2025,5,"桃園國際機場","西雅圖","長榮",90,30248,26882,88.8720
2025,6,"桃園國際機場","西雅圖","長榮",102,33991,30180,88.7882
2025,7,"桃園國際機場","西雅圖","長榮",105,34694,28487,82.1093
2025,8,"桃園國際機場","西雅圖","長榮",106,34770,28453,81.8320
2025,9,"桃園國際機場","西雅圖","長榮",93,30514,20430,66.9529
2026,1,"桃園國際機場","西雅圖","長榮",91,31122,25136,80.7660
2026,2,"桃園國際機場","西雅圖","長榮",80,27360,22456,82.0760
2026,3,"桃園國際機場","西雅圖","長榮",88,30096,28211,93.7367
2026,4,"桃園國際機場","西雅圖","長榮",86,29412,25251,85.8527
2026,5,"桃園國際機場","西雅圖","長榮",88,30096,26912,89.4205
2024,10,"桃園國際機場","東京成田","長榮",183,62586,52709,84.2185
2024,11,"桃園國際機場","東京成田","長榮",181,61275,57444,93.7479
2024,12,"桃園國際機場","東京成田","長榮",186,63612,55780,87.6879
2024,1,"桃園國際機場","東京成田","長榮",185,61074,54260,88.8430
2024,2,"桃園國際機場","東京成田","長榮",175,58948,54723,92.8327
2024,3,"桃園國際機場","東京成田","長榮",185,63270,60137,95.0482
2024,4,"桃園國際機場","東京成田","長榮",181,61902,52745,85.2073
2024,5,"桃園國際機場","東京成田","長榮",186,63656,51823,81.4110
2024,6,"桃園國際機場","東京成田","長榮",180,61586,57033,92.6071
2024,7,"桃園國際機場","東京成田","長榮",182,62244,53037,85.2082
2024,8,"桃園國際機場","東京成田","長榮",186,63612,56063,88.1327
2024,9,"桃園國際機場","東京成田","長榮",180,61560,48239,78.3609
2025,10,"桃園國際機場","東京成田","長榮",185,63176,52150,82.5472
2025,11,"桃園國際機場","東京成田","長榮",181,61924,56628,91.4476
2025,12,"桃園國際機場","東京成田","長榮",186,63638,59256,93.1142
2025,1,"桃園國際機場","東京成田","長榮",186,63634,57431,90.2521
2025,2,"桃園國際機場","東京成田","長榮",168,57456,53285,92.7405
2025,3,"桃園國際機場","東京成田","長榮",186,63612,58023,91.2139
2025,4,"桃園國際機場","東京成田","長榮",180,61638,50874,82.5367
2025,5,"桃園國際機場","東京成田","長榮",186,63602,50386,79.2208
2025,6,"桃園國際機場","東京成田","長榮",180,61294,47692,77.8086
2025,7,"桃園國際機場","東京成田","長榮",186,63620,46878,73.6844
2025,8,"桃園國際機場","東京成田","長榮",186,63656,54194,85.1357
2025,9,"桃園國際機場","東京成田","長榮",180,61498,40101,65.2070
2026,1,"桃園國際機場","東京成田","長榮",186,63612,61340,96.4283
2026,2,"桃園國際機場","東京成田","長榮",168,57456,55862,97.2257
2026,3,"桃園國際機場","東京成田","長榮",189,64382,63169,98.1159
2026,4,"桃園國際機場","東京成田","長榮",181,61968,55143,88.9863
2026,5,"桃園國際機場","東京成田","長榮",186,63612,52053,81.8289
2024,10,"桃園國際機場","河內","長榮",124,31754,28821,90.7634
2024,11,"桃園國際機場","河內","長榮",120,30480,28611,93.8681
2024,12,"桃園國際機場","河內","長榮",124,31494,26490,84.1113
2024,1,"桃園國際機場","河內","長榮",124,31474,23915,75.9834
2024,2,"桃園國際機場","河內","長榮",116,32254,26814,83.1339
2024,3,"桃園國際機場","河內","長榮",124,31474,28651,91.0307
2024,4,"桃園國際機場","河內","長榮",120,30480,28363,93.0545
2024,5,"桃園國際機場","河內","長榮",124,31474,27362,86.9352
2024,6,"桃園國際機場","河內","長榮",120,30440,27491,90.3121
2024,7,"桃園國際機場","河內","長榮",120,31036,28047,90.3692
2024,8,"桃園國際機場","河內","長榮",124,31944,27390,85.7438
2024,9,"桃園國際機場","河內","長榮",116,29884,25992,86.9763
2025,10,"桃園國際機場","河內","長榮",124,32282,31039,96.1496
2025,11,"桃園國際機場","河內","長榮",120,31020,29306,94.4745
2025,12,"桃園國際機場","河內","長榮",124,32660,27526,84.2805
2025,1,"桃園國際機場","河內","長榮",124,31454,25663,81.5890
2025,2,"桃園國際機場","河內","長榮",112,28452,25072,88.1203
2025,3,"桃園國際機場","河內","長榮",124,31494,29023,92.1541
2025,4,"桃園國際機場","河內","長榮",120,30700,27947,91.0326
2025,5,"桃園國際機場","河內","長榮",124,31964,25512,79.8148
2025,6,"桃園國際機場","河內","長榮",120,30780,25603,83.1806
2025,7,"桃園國際機場","河內","長榮",124,32054,27829,86.8191
2025,8,"桃園國際機場","河內","長榮",124,32054,28378,88.5319
2025,9,"桃園國際機場","河內","長榮",120,31000,24840,80.1290
2026,1,"桃園國際機場","河內","長榮",124,32006,27294,85.2778
2026,2,"桃園國際機場","河內","長榮",112,28952,24905,86.0217
2026,3,"桃園國際機場","河內","長榮",124,32054,29824,93.0430
2026,4,"桃園國際機場","河內","長榮",120,31020,29823,96.1412
2026,5,"桃園國際機場","河內","長榮",124,32014,28864,90.1606
2024,10,"桃園國際機場","芝加哥","長榮",62,20646,17986,87.1161
2024,11,"桃園國際機場","芝加哥","長榮",60,19980,18014,90.1602
2024,12,"桃園國際機場","芝加哥","長榮",62,20646,17498,84.7525
2024,1,"桃園國際機場","芝加哥","長榮",62,20646,18326,88.7630
2024,2,"桃園國際機場","芝加哥","長榮",58,19314,15724,81.4124
2024,3,"桃園國際機場","芝加哥","長榮",62,20646,18913,91.6061
2024,4,"桃園國際機場","芝加哥","長榮",60,19980,17743,88.8038
2024,5,"桃園國際機場","芝加哥","長榮",62,20686,19233,92.9759
2024,6,"桃園國際機場","芝加哥","長榮",60,19980,18886,94.5245
2024,7,"桃園國際機場","芝加哥","長榮",62,20646,18689,90.5212
2024,8,"桃園國際機場","芝加哥","長榮",62,20646,19317,93.5629
2024,9,"桃園國際機場","芝加哥","長榮",60,19980,17401,87.0921
2025,10,"桃園國際機場","芝加哥","長榮",62,20646,17086,82.7570
2025,11,"桃園國際機場","芝加哥","長榮",60,20020,16908,84.4555
2025,12,"桃園國際機場","芝加哥","長榮",62,20646,16595,80.3788
2025,1,"桃園國際機場","芝加哥","長榮",62,20646,18386,89.0536
2025,2,"桃園國際機場","芝加哥","長榮",56,18648,15552,83.3977
2025,3,"桃園國際機場","芝加哥","長榮",62,20646,18772,90.9232
2025,4,"桃園國際機場","芝加哥","長榮",60,19980,17334,86.7568
2025,5,"桃園國際機場","芝加哥","長榮",62,20646,18898,91.5335
2025,6,"桃園國際機場","芝加哥","長榮",60,19980,18177,90.9760
2025,7,"桃園國際機場","芝加哥","長榮",62,20686,17116,82.7420
2025,8,"桃園國際機場","芝加哥","長榮",62,20646,17151,83.0718
2025,9,"桃園國際機場","芝加哥","長榮",60,19980,13127,65.7007
2026,1,"桃園國際機場","芝加哥","長榮",62,20646,18281,88.5450
2026,2,"桃園國際機場","芝加哥","長榮",56,18648,14904,79.9228
2026,3,"桃園國際機場","芝加哥","長榮",62,20646,19767,95.7425
2026,4,"桃園國際機場","芝加哥","長榮",60,19980,17439,87.2823
2026,5,"桃園國際機場","芝加哥","長榮",62,20646,19038,92.2116
2024,10,"桃園國際機場","金邊","長榮",61,18849,13023,69.0912
2024,11,"桃園國際機場","金邊","長榮",61,18849,15318,81.2669
2024,12,"桃園國際機場","金邊","長榮",62,19158,16130,84.1946
2024,1,"桃園國際機場","金邊","長榮",62,15852,13333,84.1093
2024,2,"桃園國際機場","金邊","長榮",58,15160,12784,84.3272
2024,3,"桃園國際機場","金邊","長榮",62,16194,12322,76.0899
2024,4,"桃園國際機場","金邊","長榮",60,15804,13066,82.6753
2024,5,"桃園國際機場","金邊","長榮",62,19158,12528,65.3930
2024,6,"桃園國際機場","金邊","長榮",60,18540,14190,76.5372
2024,7,"桃園國際機場","金邊","長榮",62,19158,15795,82.4460
2024,8,"桃園國際機場","金邊","長榮",62,19206,15265,79.4804
2024,9,"桃園國際機場","金邊","長榮",60,18540,12467,67.2438
2025,10,"桃園國際機場","金邊","長榮",62,19158,12616,65.8524
2025,11,"桃園國際機場","金邊","長榮",60,18540,13575,73.2201
2025,12,"桃園國際機場","金邊","長榮",62,19158,14045,73.3114
2025,1,"桃園國際機場","金邊","長榮",62,19158,16476,86.0006
2025,2,"桃園國際機場","金邊","長榮",56,17304,14697,84.9341
2025,3,"桃園國際機場","金邊","長榮",62,19158,14540,75.8952
2025,4,"桃園國際機場","金邊","長榮",60,18540,15093,81.4078
2025,5,"桃園國際機場","金邊","長榮",62,19158,13552,70.7381
2025,6,"桃園國際機場","金邊","長榮",60,18540,14172,76.4401
2025,7,"桃園國際機場","金邊","長榮",62,19158,15513,80.9740
2025,8,"桃園國際機場","金邊","長榮",62,19224,13806,71.8165
2025,9,"桃園國際機場","金邊","長榮",60,18540,12507,67.4595
2026,1,"桃園國際機場","金邊","長榮",62,19158,13495,70.4405
2026,2,"桃園國際機場","金邊","長榮",56,17304,13003,75.1445
2026,3,"桃園國際機場","金邊","長榮",62,19158,13124,68.5040
2026,4,"桃園國際機場","金邊","長榮",60,18540,14186,76.5156
2026,5,"桃園國際機場","金邊","長榮",62,19158,11105,57.9653
2024,10,"桃園國際機場","洛杉磯","長榮",186,60638,46654,76.9386
2024,11,"桃園國際機場","洛杉磯","長榮",180,58780,47044,80.0340
2024,12,"桃園國際機場","洛杉磯","長榮",186,60698,51016,84.0489
2024,1,"桃園國際機場","洛杉磯","長榮",186,60698,53575,88.2649
2024,2,"桃園國際機場","洛杉磯","長榮",175,57105,47878,83.8420
2024,3,"桃園國際機場","洛杉磯","長榮",185,60375,53800,89.1097
2024,4,"桃園國際機場","洛杉磯","長榮",181,59103,51293,86.7858
2024,5,"桃園國際機場","洛杉磯","長榮",186,60698,53733,88.5252
2024,6,"桃園國際機場","洛杉磯","長榮",179,58417,55607,95.1898
2024,7,"桃園國際機場","洛杉磯","長榮",181,59223,54770,92.4810
2024,8,"桃園國際機場","洛杉磯","長榮",187,61091,52079,85.2482
2024,9,"桃園國際機場","洛杉磯","長榮",179,58407,42923,73.4895
2025,10,"桃園國際機場","洛杉磯","長榮",185,60195,39892,66.2713
2025,11,"桃園國際機場","洛杉磯","長榮",180,58520,41525,70.9586
2025,12,"桃園國際機場","洛杉磯","長榮",187,60711,47927,78.9429
2025,1,"桃園國際機場","洛杉磯","長榮",186,60718,53723,88.4795
2025,2,"桃園國際機場","洛杉磯","長榮",168,54824,43419,79.1971
2025,3,"桃園國際機場","洛杉磯","長榮",187,61031,47246,77.4131
2025,4,"桃園國際機場","洛杉磯","長榮",179,58647,46805,79.8080
2025,5,"桃園國際機場","洛杉磯","長榮",187,61171,47683,77.9503
2025,6,"桃園國際機場","洛杉磯","長榮",180,58750,47832,81.4162
2025,7,"桃園國際機場","洛杉磯","長榮",186,60658,45899,75.6685
2025,8,"桃園國際機場","洛杉磯","長榮",186,60598,40505,66.8421
2025,9,"桃園國際機場","洛杉磯","長榮",178,57864,28367,49.0236
2026,1,"桃園國際機場","洛杉磯","長榮",186,60318,49026,81.2792
2026,2,"桃園國際機場","洛杉磯","長榮",168,54584,43138,79.0305
2026,3,"桃園國際機場","洛杉磯","長榮",186,60438,54711,90.5242
2026,4,"桃園國際機場","洛杉磯","長榮",180,58350,47585,81.5510
2026,5,"桃園國際機場","洛杉磯","長榮",186,60288,51729,85.8031
2024,10,"桃園國際機場","胡志明市","長榮",185,60017,45294,75.4686
2024,11,"桃園國際機場","胡志明市","長榮",181,58853,43348,73.6547
2024,12,"桃園國際機場","胡志明市","長榮",186,62176,45749,73.5798
2024,1,"桃園國際機場","胡志明市","長榮",188,62576,47952,76.6300
2024,2,"桃園國際機場","胡志明市","長榮",192,62844,54735,87.0966
2024,3,"桃園國際機場","胡志明市","長榮",186,60870,52095,85.5840
2024,4,"桃園國際機場","胡志明市","長榮",180,60020,49624,82.6791
